id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp,our_snapshot_time
23c8dea6-ab2f-429c-ba95-545b24835042,N456,"Lublin, Bus Station Lublin",Lublin - Milan - Marseille,2859.0,2026-05-20T16:12:41Z,2026-05-20T16:35:00Z,2026-05-20T18:18:17
279429f3-5d1a-4c7b-a7f8-b2d520720fc8,518,Como,Naples - Milan - Como,0.0,2026-05-20T04:48:55Z,2026-05-20T17:25:00Z,2026-05-20T18:18:17
f54c0343-266b-4ebc-804e-0228733d2e5a,423,Turin (Vittorio Emanuele),Turin - Ferrara,263.0,2026-05-20T16:18:27Z,2026-05-20T17:30:00Z,2026-05-20T18:18:17
afeed613-2e47-4b8a-865d-ea644648ff3d,N836,Amsterdam Sloterdijk,Amsterdam - Brussels - Luxemburg - Milan,,,2026-05-20T17:40:00Z,2026-05-20T18:18:17
7f008d8a-46b9-4a06-9fa6-4a01f7294883,CIT3197,Milan (Malpensa Airport Terminal 1),Standard,,,2026-05-20T17:45:00Z,2026-05-20T18:18:17
2a2b0413-d3e9-4154-ab4c-ae88bc29c429,CIT3197,Milan (Malpensa Airport Terminal 2),Standard,,,2026-05-20T17:45:00Z,2026-05-20T18:18:17
c734fd17-5c48-46e5-b319-101a41372c83,500,Genoa (Fanti d'Italia/Principe bus station),Milan - Genoa/Rome/Aprilia,,,2026-05-20T18:00:00Z,2026-05-20T18:18:17
c9689791-e898-41ea-9b38-807ce1f6bfd5,N487,Amsterdam Sloterdijk,Amsterdam - Milan,,,2026-05-20T18:25:00Z,2026-05-20T18:18:17
b7377a2c-61c2-4e55-95c6-8829dfb31bac,N436,Lecce,Zurich - Lecce,,,2026-05-20T18:25:00Z,2026-05-20T18:18:17
cb3ba520-3064-4c28-a266-7e7998e50d89,472,Verona (Porta Nuova),Verona - Geneve,0.0,2026-05-20T12:23:32Z,2026-05-20T18:30:00Z,2026-05-20T18:18:17
5a56efac-c2c7-4e91-8357-2b0b87ab8e32,N522,Rome Fiumicino Airport,Milan - Bergamo - Rome,,,2026-05-20T18:30:00Z,2026-05-20T18:18:17
20460f5b-3849-4629-bbbd-2cb1d84724a7,407,Turin (Vittorio Emanuele),Turin - Meran,0.0,2026-05-20T12:22:57Z,2026-05-20T18:55:00Z,2026-05-20T18:18:17
c46d3901-5f2c-426a-84b4-c2c125081de4,CIT3197,Milan (Malpensa Airport Terminal 1),Standard,,,2026-05-20T19:00:00Z,2026-05-20T18:18:17
db35d6b1-0330-4b4b-8794-f1edaef438d5,CIT3197,Milan (Malpensa Airport Terminal 2),Standard,,,2026-05-20T19:00:00Z,2026-05-20T18:18:17
493e779d-3d3c-47fe-a1e3-097a1a95d151,N473,Eindhoven Airport,Eindhoven - Milan,,,2026-05-20T19:05:00Z,2026-05-20T18:18:17
4e26e282-5591-4a2a-94d9-28f9d336c9ec,N1308,"Bialystok, Bus Station",Bialystok - Prague - Milan,,,2026-05-20T19:10:00Z,2026-05-20T18:18:17
81114194-7dfc-4717-8394-29cea04d71ba,N778,Toulouse (Blagnac Airport),Toulouse - Bergamo,,,2026-05-20T19:15:00Z,2026-05-20T18:18:17
68d38d40-fa5c-44ba-816b-d315b4692cf5,403,Turin (Vittorio Emanuele),Turin - Budapest,0.0,2026-05-20T03:46:16Z,2026-05-20T19:20:00Z,2026-05-20T18:18:17
11f68aed-37ec-4067-a370-c2967c8683b4,N402,Zagreb (bus station),Turin - Zagreb,,,2026-05-20T19:30:00Z,2026-05-20T18:18:17
b7f71c7c-b453-4959-a7c3-ebf109e51c29,N410,Paris (Pershing - Porte Maillot),Paris - Bologna,0.0,2026-05-20T15:47:31Z,2026-05-20T19:35:00Z,2026-05-20T18:18:17
19c88d35-85f0-42bd-9bca-774aebdf8c63,XN525,Salerno (Piazza Concordia),Express Torino - Milan - Naples - Salerno,,,2026-05-20T19:50:00Z,2026-05-20T18:18:17
0afe0ad3-23e8-453d-accc-98416db71c0e,N508,Frankfurt central train station,Frankfurt - Milan - Nice,,,2026-05-20T19:50:00Z,2026-05-20T18:18:17
94f46fbd-cbf7-451c-8543-fd5dc3c45156,N520,Rome Tiburtina Bus station,Milan - Florence - Rome,,,2026-05-20T20:00:00Z,2026-05-20T18:18:17
7296481f-2342-44ab-a0fc-6add586af1bc,N424,Salerno (Piazza Concordia),Turin - Salerno,,,2026-05-20T20:30:00Z,2026-05-20T18:18:17
